Name,ID,Has Block,Mod,Class
minecraft:stone,1,true,minecraft,net.minecraft.item.ItemBlock
minecraft:grass,2,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dirt,3,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:cobblestone,4,true,minecraft,net.minecraft.item.ItemBlock
minecraft:planks,5,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:sapling,6,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:bedrock,7,true,minecraft,net.minecraft.item.ItemBlock
minecraft:flowing_water,8,true,minecraft,net.minecraft.item.ItemBlock
minecraft:water,9,true,minecraft,net.minecraft.item.ItemBlock
minecraft:flowing_lava,10,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lava,11,true,minecraft,net.minecraft.item.ItemBlock
minecraft:sand,12,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:gravel,13,true,minecraft,net.minecraft.item.ItemBlock
minecraft:gold_ore,14,true,minecraft,net.minecraft.item.ItemBlock
minecraft:iron_ore,15,true,minecraft,net.minecraft.item.ItemBlock
minecraft:coal_ore,16,true,minecraft,net.minecraft.item.ItemBlock
minecraft:log,17,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:leaves,18,true,minecraft,net.minecraft.item.ItemLeaves
minecraft:sponge,19,true,minecraft,net.minecraft.item.ItemBlock
minecraft:glass,20,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lapis_ore,21,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lapis_block,22,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dispenser,23,true,minecraft,net.minecraft.item.ItemBlock
minecraft:sandstone,24,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:noteblock,25,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:bed_technical,26,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:golden_rail,27,true,minecraft,net.minecraft.item.ItemBlock
minecraft:detector_rail,28,true,minecraft,net.minecraft.item.ItemBlock
minecraft:sticky_piston,29,true,minecraft,net.minecraft.item.ItemPiston
minecraft:web,30,true,minecraft,net.minecraft.item.ItemBlock
minecraft:tallgrass,31,true,minecraft,net.minecraft.item.ItemColored
minecraft:deadbush,32,true,minecraft,net.minecraft.item.ItemBlock
minecraft:piston,33,true,minecraft,net.minecraft.item.ItemPiston
DragonAPI:minecraft:piston_head_technical,34,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:wool,35,true,minecraft,net.minecraft.item.ItemCloth
minecraft:yellow_flower,37,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:red_flower,38,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.item.ItemBlock
minecraft:red_mushroom,40,true,minecraft,net.minecraft.item.ItemBlock
minecraft:gold_block,41,true,minecraft,net.minecraft.item.ItemBlock
minecraft:iron_block,42,true,minecraft,net.minecraft.item.ItemBlock
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.item.ItemSlab
minecraft:stone_slab,44,true,minecraft,net.minecraft.item.ItemSlab
